strTherapeuticArea|Bio_phase1_paths|POS_12_Bio|POS_12_Bio_Error|Bio_phase2_paths|POS_23_Bio|POS_23_Bio_Error|Bio_phase3_paths|POS_3A_Bio|POS_3A_Bio_Error|POS_1A_Bio|POS_1A_Bio_Error|NonBio_phase1_paths|POS_12_NonBio|POS_12_NonBio_Error|NonBio_phase2_paths|POS_23_NonBio|POS_23_NonBio_Error|NonBio_phase3_paths|POS_3A_NonBio|POS_3A_NonBio_Error|POS_1A_NonBio|POS_1A_NonBio_Error
Alimentary/Metabolic|365|69.86|2.47|451|36.81|3.41|153|66.67|1.58|17.14|1.75|4441|66.52|1.80|2461|47.74|2.25|1049|67.59|1.88|21.46|1.31
Anti-infective|100|77.00|0.98|135|49.63|1.44|62|77.42|2.31|29.59|1.29|5412|71.05|1.90|3527|60.14|1.96|1955|73.66|2.13|31.47|1.61
Anticancer|6648|70.65|1.27|4261|31.28|2.30|755|54.70|1.04|12.09|0.94|13470|58.35|3.38|6688|26.97|4.25|2000|59.85|1.69|9.42|1.60
Antiparasitic|1|100.00|0.00|0|0.00|0.00|0|0.00|0.00|0.00|0.00|179|69.83|1.88|119|56.30|2.02|64|79.69|0.77|31.33|1.44
Blood and Clotting|120|80.00|0.82|139|48.92|1.74|60|73.33|0.82|28.70|1.11|1532|74.35|0.90|1015|66.11|1.15|622|79.42|1.10|39.04|0.99
Cardiovascular|82|79.27|2.33|185|50.27|1.06|94|68.09|1.55|27.13|1.16|2745|72.97|1.47|1749|57.00|1.58|879|61.66|2.84|25.65|1.47
Dermatological|159|70.44|2.68|159|40.88|2.40|39|84.62|2.44|24.37|1.84|2116|77.41|1.13|1471|44.46|1.87|598|70.90|2.39|24.40|1.36
Genitourinary (including sex hormones)|22|81.82|2.17|60|43.33|0.82|13|61.54|3.57|21.82|1.45|1557|75.21|1.37|1025|54.54|2.33|525|70.10|1.75|28.75|1.52
Hormonal (excluding sex hormones)|2|100.00|0.00|6|83.33|7.14|6|50.00|0.00|41.66|3.57|228|75.44|0.86|152|60.53|1.28|84|88.10|0.00|40.23|0.97
Immunological|261|67.43|2.55|249|34.94|2.48|72|62.50|1.35|14.73|1.23|1844|65.78|3.43|1029|55.98|1.64|530|75.28|1.47|27.72|1.74
Miscellaneous|7|0.00|0.00|21|38.10|9.62|6|33.33|0.00|0.00|0.00|484|78.93|0.81|310|56.45|5.59|162|69.14|2.07|30.81|3.20
Musculoskeletal|117|77.78|1.65|125|48.00|2.29|56|67.86|4.10|25.34|2.02|1692|68.26|2.39|1018|57.96|0.96|519|70.13|1.22|27.75|1.18
Neurological|447|66.00|2.24|473|34.25|3.63|159|46.54|3.78|10.52|1.45|6252|67.15|1.79|3611|45.39|2.06|1448|62.36|1.44|19.01|1.09
Respiratory|170|72.94|1.15|217|28.57|1.35|57|61.40|0.00|12.80|0.64|2116|71.36|1.11|1296|41.36|1.42|497|61.97|1.18|18.29|0.77
Sensory|40|92.50|5.56|63|36.51|1.54|21|66.67|2.27|22.52|1.82|1717|82.35|0.89|1230|52.52|2.51|578|69.72|1.67|30.15|1.64
Total|8541|70.79|1.47|6544|34.00|2.40|1553|59.43|1.62|14.30|1.12|46098|67.05|2.20|26827|46.15|2.53|11584|67.71|1.78|20.95|1.45
