strIndicationGroup|P1_totalPaths|PoS_12|PoS_12_High|PoS_12_Low|P2_totalPaths|PoS_23|PoS_23_High|PoS_23_Low|P3_totalPaths|PoS_3A|PoS_3A_High|PoS_3A_Low|P1A_totalPaths|PoS_1A
Alimentary/Metabolic|4806|66.77|68.00|64.30|2912|46.05|48.68|43.81|1202|67.47|68.67|64.98|4370|18.56
Anti-infective|5512|71.15|72.24|68.47|3662|59.75|61.31|57.43|2017|73.77|74.89|70.62|5081|29.29
Anticancer|20118|62.42|64.45|59.04|10949|28.65|33.66|26.64|2755|58.44|59.70|56.67|18128|8.88
Antiparasitic|180|70.00|71.12|67.38|119|56.30|58.06|54.03|64|79.69|80.00|78.46|170|30.00
Blood and Clotting|1652|74.76|75.21|73.42|1154|64.04|64.92|62.47|682|78.89|79.34|77.19|1514|35.54
Cardiovascular|2827|73.15|73.95|70.97|1934|56.36|57.69|54.64|973|62.28|64.33|58.89|2576|23.52
Dermatological|2275|76.92|77.50|75.01|1630|44.11|46.25|42.42|637|71.74|73.09|68.31|2073|22.05
Genitourinary (including sex hormones)|1579|75.30|75.99|73.21|1085|53.92|55.99|51.50|538|69.89|70.97|67.38|1428|26.33
Hormonal (excluding sex hormones)|230|75.65|76.07|74.36|158|61.39|62.58|59.51|90|85.56|85.56|85.56|207|37.20
Immunological|2105|65.99|68.25|61.60|1278|51.88|53.62|50.00|602|73.75|74.52|71.61|1933|22.97
Miscellaneous|491|77.80|78.16|76.55|331|55.29|60.53|48.80|168|67.86|69.14|65.14|425|26.82
Musculoskeletal|1809|68.88|70.34|65.65|1143|56.87|57.83|55.60|575|69.91|70.83|67.79|1631|24.65
Neurological|6699|67.07|68.27|64.63|4084|44.10|46.61|42.12|1607|60.80|62.12|58.75|6096|16.03
Respiratory|2286|71.48|72.11|69.89|1513|39.52|41.23|38.41|554|61.91|62.72|60.60|2121|16.17
Sensory|1757|82.58|82.93|80.93|1293|51.74|54.12|49.19|599|69.62|70.65|67.26|1529|27.27
Total|54639|67.64|68.99|64.81|33371|43.77|46.59|41.57|13137|66.74|67.91|64.39|49585|17.68
