strIndicationGroup|P1_totalPaths|PoS_12|PoS_12_High|PoS_12_Low|P2_totalPaths|PoS_23|PoS_23_High|PoS_23_Low|P3_totalPaths|PoS_3A|PoS_3A_High|PoS_3A_Low|P1A_totalPaths|PoS_1A
Alimentary/Metabolic|509|82.91|83.14|81.78|369|52.85|54.21|51.32|172|62.79|63.64|61.36|433|24.94
Anti-infective|1160|80.00|80.79|76.82|882|79.37|79.96|77.09|659|82.70|83.21|80.27|1073|50.79
Anticancer|8878|66.81|68.15|64.10|5312|30.38|34.11|28.76|1431|58.56|59.58|57.12|8076|10.38
Antiparasitic|163|67.48|68.82|64.71|103|52.43|54.63|50.00|51|76.47|76.92|75.00|153|25.49
Blood and Clotting|693|77.78|78.28|76.02|485|58.56|59.96|56.57|250|75.20|75.49|74.31|605|31.07
Cardiovascular|189|74.07|74.87|71.79|116|55.17|58.06|51.61|56|60.71|63.33|56.67|157|21.66
Dermatological|143|86.01|86.49|83.11|116|61.21|61.54|60.68|55|58.18|61.67|53.33|120|26.67
Genitourinary (including sex hormones)|134|82.09|82.86|78.57|90|51.11|54.17|47.92|33|69.70|70.59|67.65|101|22.77
Hormonal (excluding sex hormones)|152|76.97|77.56|75.00|106|65.09|66.06|63.30|64|87.50|87.50|87.50|136|41.18
Immunological|765|75.42|76.41|72.40|514|56.61|58.32|54.39|257|72.76|73.68|70.30|668|27.99
Miscellaneous|1|100.00|100.00|100.00|1|100.00|100.00|100.00|1|100.00|100.00|100.00|1|100.00
Musculoskeletal|419|79.00|79.58|76.80|286|58.04|58.62|57.24|129|63.57|63.85|63.08|337|24.33
Neurological|923|77.14|78.04|74.09|607|46.46|48.74|44.48|239|53.97|54.73|53.09|775|16.65
Respiratory|609|69.46|70.29|67.57|369|27.64|31.71|26.09|91|37.36|39.36|36.17|544|6.25
Sensory|270|78.52|79.29|75.71|178|52.25|54.05|50.27|82|69.51|69.51|69.51|225|25.33
